epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,4822.1,0.85705,0.48328,1.22755,1,1,0.995,0.4975,2.03382,0.63037,3.2979,0.000412749,0.000412749,0.000412749
78,4886.52,0.80288,0.46512,1.18099,1,1,0.995,0.4975,2.0533,0.64417,3.36269,0.000396246,0.000396246,0.000396246
79,4943.09,0.76228,0.45102,1.18984,0.96981,1,0.995,0.398,2.10081,0.75267,3.56014,0.000379743,0.000379743,0.000379743
80,5007.63,0.74881,0.45423,1.12986,0.96977,1,0.995,0.398,2.11357,0.83983,3.62791,0.000363239,0.000363239,0.000363239
81,5065.63,0.70323,0.45608,1.08508,0.97002,1,0.995,0.398,2.14423,0.87393,3.70894,0.000346736,0.000346736,0.000346736
82,5130.92,0.71895,0.44336,1.11204,0.96982,1,0.995,0.398,2.08167,0.86212,3.57057,0.000330233,0.000330233,0.000330233
83,5194.96,0.72083,0.44153,1.1591,0.97026,1,0.995,0.398,2.04447,0.82542,3.36203,0.000313729,0.000313729,0.000313729
84,5260.47,0.76282,0.46879,1.176,1,1,0.995,0.398,2.02303,0.79238,3.17546,0.000297226,0.000297226,0.000297226
85,5314.5,0.74846,0.44106,1.19594,1,1,0.995,0.4975,1.9202,0.83505,2.94923,0.000280723,0.000280723,0.000280723
86,5376.39,0.73131,0.43674,1.13324,1,1,0.995,0.4975,1.81756,0.7027,2.66022,0.00026422,0.00026422,0.00026422
87,5439.66,0.74965,0.47165,1.14975,1,1,0.995,0.597,1.48925,0.62762,1.9332,0.000247716,0.000247716,0.000247716
88,5501.27,0.69756,0.45249,1.11154,1,1,0.995,0.597,1.46164,0.58233,1.87018,0.000231213,0.000231213,0.000231213
89,5562.33,0.71492,0.4227,1.15568,1,1,0.995,0.597,1.46607,0.53669,1.83459,0.00021471,0.00021471,0.00021471
90,5625.22,0.6922,0.42693,1.11224,1,1,0.995,0.597,1.50029,0.54398,1.89608,0.000198206,0.000198206,0.000198206
91,5753.55,0.60868,0.38776,1.09692,1,1,0.995,0.6965,1.51573,0.56665,1.92235,0.000181703,0.000181703,0.000181703
92,5820.36,0.63582,0.38368,1.14257,0.96877,1,0.995,0.6965,1.46608,0.6436,1.87339,0.0001652,0.0001652,0.0001652
93,5890.96,0.63102,0.37853,1.12128,0.96888,1,0.995,0.6965,1.47942,0.60745,1.94882,0.000148696,0.000148696,0.000148696
94,5957.04,0.60017,0.38232,1.10882,0.9681,1,0.995,0.6965,1.54314,0.5582,2.0596,0.000132193,0.000132193,0.000132193
95,6021.62,0.61623,0.3715,1.09154,0.96847,1,0.995,0.597,1.71629,0.57728,2.71554,0.00011569,0.00011569,0.00011569
96,6090.18,0.56087,0.35926,1.08676,0.96922,1,0.995,0.597,1.83357,0.49993,3.00588,9.91865e-05,9.91865e-05,9.91865e-05
97,6154.53,0.54349,0.35078,1.10516,0.96938,1,0.995,0.597,1.92584,0.52805,3.22627,8.26832e-05,8.26832e-05,8.26832e-05
98,6218.74,0.56382,0.35476,1.10487,0.96964,1,0.995,0.597,1.92103,0.53482,3.20733,6.61799e-05,6.61799e-05,6.61799e-05
99,6286.16,0.5992,0.38306,1.13425,0.96966,1,0.995,0.597,1.91352,0.53307,3.18652,4.96766e-05,4.96766e-05,4.96766e-05
100,6350.11,0.55061,0.34405,1.07959,0.96981,1,0.995,0.597,1.87631,0.55036,3.10984,3.31733e-05,3.31733e-05,3.31733e-05
